county_id,county,fips_code,population,area
1,Alameda County,1,1671329,"738 sq mi(1,911 km2)"
2,Alpine County,3,1129,"739 sq mi(1,914 km2)"
3,Amador County,5,39752,"606 sq mi(1,570 km2)"
4,Butte County,7,219186,"1,640 sq mi(4,248 km2)"
5,Calaveras County,9,45905,"1,020 sq mi(2,642 km2)"
6,Colusa County,11,21547,"1,151 sq mi(2,981 km2)"
7,Contra Costa County,13,1153526,"720 sq mi(1,865 km2)"
8,Del Norte County,15,27812,"1,008 sq mi(2,611 km2)"
9,El Dorado County,17,192843,"1,712 sq mi(4,434 km2)"
10,Fresno County,19,999101,"5,963 sq mi(15,444 km2)"
11,Glenn County,21,28393,"1,315 sq mi(3,406 km2)"
12,Humboldt County,23,135558,"3,573 sq mi(9,254 km2)"
13,Imperial County,25,181215,"4,175 sq mi(10,813 km2)"
14,Inyo County,27,18039,"10,192 sq mi(26,397 km2)"
15,Kern County,29,900202,"8,142 sq mi(21,088 km2)"
16,Kings County,31,152940,"1,390 sq mi(3,600 km2)"
17,Lake County,33,64386,"1,258 sq mi(3,258 km2)"
18,Lassen County,35,30573,"4,558 sq mi(11,805 km2)"
19,Los Angeles County,37,10039107,"4,060 sq mi(10,515 km2)"
20,Madera County,39,157327,"2,138 sq mi(5,537 km2)"
21,Marin County,41,258826,"520 sq mi(1,347 km2)"
22,Mariposa County,43,17203,"1,451 sq mi(3,758 km2)"
23,Mendocino County,45,86749,"3,509 sq mi(9,088 km2)"
24,Merced County,47,277680,"1,929 sq mi(4,996 km2)"
25,Modoc County,49,8841,"3,944 sq mi(10,215 km2)"
26,Mono County,51,14444,"3,044 sq mi(7,884 km2)"
27,Monterey County,53,434061,"3,322 sq mi(8,604 km2)"
28,Napa County,55,137744,"754 sq mi(1,953 km2)"
29,Nevada County,57,99755,"958 sq mi(2,481 km2)"
30,Orange County,59,3175692,"948 sq mi(2,455 km2)"
31,Placer County,61,398329,"1,407 sq mi(3,644 km2)"
32,Plumas County,63,18807,"2,554 sq mi(6,615 km2)"
33,Riverside County,65,2470546,"7,208 sq mi(18,669 km2)"
34,Sacramento County,67,1552058,"966 sq mi(2,502 km2)"
35,San Benito County,69,62808,"1,389 sq mi(3,597 km2)"
36,San Bernardino County,71,2180085,"20,062 sq mi(51,960 km2)"
37,San Diego County,73,3338330,"4,204 sq mi(10,888 km2)"
38,San Francisco,75,881549,47 sq mi(122 km2)
39,San Joaquin County,77,762148,"1,399 sq mi(3,623 km2)"
40,San Luis Obispo County,79,283111,"3,304 sq mi(8,557 km2)"
41,San Mateo County,81,766573,"449 sq mi(1,163 km2)"
42,Santa Barbara County,83,446499,"2,738 sq mi(7,091 km2)"
43,Santa Clara County,85,1927852,"1,291 sq mi(3,344 km2)"
44,Santa Cruz County,87,273213,"446 sq mi(1,155 km2)"
45,Shasta County,89,180080,"3,786 sq mi(9,806 km2)"
46,Sierra County,91,3005,"953 sq mi(2,468 km2)"
47,Siskiyou County,93,43539,"6,287 sq mi(16,283 km2)"
48,Solano County,95,447643,"828 sq mi(2,145 km2)"
49,Sonoma County,97,494336,"1,576 sq mi(4,082 km2)"
50,Stanislaus County,99,550660,"1,495 sq mi(3,872 km2)"
51,Sutter County,101,96971,"603 sq mi(1,562 km2)"
52,Tehama County,103,65084,"2,951 sq mi(7,643 km2)"
53,Trinity County,105,12285,"3,179 sq mi(8,234 km2)"
54,Tulare County,107,466195,"4,824 sq mi(12,494 km2)"
55,Tuolumne County,109,54478,"2,236 sq mi(5,791 km2)"
56,Ventura County,111,846006,"1,846 sq mi(4,781 km2)"
57,Yolo County,113,220500,"1,012 sq mi(2,621 km2)"
58,Yuba County,115,78668,"630 sq mi(1,632 km2)"